condition,scope,auprc,recall,recall_at_50,recall_at_100,macro_f1,precision,roc_auc,ece,brier,n,n_pos,pos_rate,repeat_seed,best_epoch,val_auprc_weak,n_supervised,budget,n_annotations_used,n_annotations_positive,seed,annotation_source,annotation_manifest,is_fixture
A2_feedback_langsung,entity,0.6644509103207196,0.9074074074074074,0.5370370370370371,0.6666666666666666,0.5354722011381616,0.19215686274509805,0.892914653784219,0.3370735395587569,0.2863680572187783,583.0,54.0,0.09262435677530018,42,125,0.923005263440619,8,10,8,8,42,data\synthetic\seed_42\human_annotations_majority_annotation.csv,data\synthetic\seed_42\annotation\sample_manifest.json,False
A2_feedback_langsung,all,0.5658448585336668,0.9074074074074074,0.5,0.6111111111111112,0.5102665293983071,0.1540880503144654,0.8759578544061302,0.3785411417392123,0.3076053564414132,750.0,54.0,0.072,42,125,0.923005263440619,8,10,8,8,42,data\synthetic\seed_42\human_annotations_majority_annotation.csv,data\synthetic\seed_42\annotation\sample_manifest.json,False
A2_feedback_langsung,entity,0.6510704266757873,0.8703703703703703,0.5185185185185185,0.7037037037037037,0.5577832071795854,0.20434782608695654,0.8936848001120212,0.2929227467094834,0.2540386459452533,583.0,54.0,0.09262435677530018,43,109,0.9208548936982294,8,10,8,8,42,data\synthetic\seed_42\human_annotations_majority_annotation.csv,data\synthetic\seed_42\annotation\sample_manifest.json,False
A2_feedback_langsung,all,0.6124383875196465,0.8703703703703703,0.5185185185185185,0.6296296296296297,0.5349946801860531,0.16607773851590105,0.8867071094082588,0.32024612686525855,0.25932530672724236,750.0,54.0,0.072,43,109,0.9208548936982294,8,10,8,8,42,data\synthetic\seed_42\human_annotations_majority_annotation.csv,data\synthetic\seed_42\annotation\sample_manifest.json,False
A2_feedback_langsung,entity,0.6179166876904125,0.8703703703703703,0.5,0.6296296296296297,0.5501968193985198,0.19915254237288135,0.8818175453336133,0.2943265434491291,0.25991872590047277,583.0,54.0,0.09262435677530018,44,143,0.9240649432120043,8,10,8,8,42,data\synthetic\seed_42\human_annotations_majority_annotation.csv,data\synthetic\seed_42\annotation\sample_manifest.json,False
A2_feedback_langsung,all,0.5735338213857191,0.8703703703703703,0.48148148148148145,0.5555555555555556,0.5331305786131881,0.1649122807017544,0.8694125159642401,0.32586744943678414,0.26622624321606275,750.0,54.0,0.072,44,143,0.9240649432120043,8,10,8,8,42,data\synthetic\seed_42\human_annotations_majority_annotation.csv,data\synthetic\seed_42\annotation\sample_manifest.json,False
A2_feedback_langsung,entity,0.629762887044247,0.8703703703703703,0.5185185185185185,0.6666666666666666,0.5364930002112419,0.1902834008097166,0.8864384233004271,0.3228085519961533,0.2805116319576568,583.0,54.0,0.09262435677530018,45,91,0.9214042844792928,8,10,8,8,42,data\synthetic\seed_42\human_annotations_majority_annotation.csv,data\synthetic\seed_42\annotation\sample_manifest.json,False
A2_feedback_langsung,all,0.572571919394606,0.8703703703703703,0.48148148148148145,0.6111111111111112,0.5193303162067027,0.15666666666666668,0.8770221370796084,0.3415432094431117,0.28544367462826903,750.0,54.0,0.072,45,91,0.9214042844792928,8,10,8,8,42,data\synthetic\seed_42\human_annotations_majority_annotation.csv,data\synthetic\seed_42\annotation\sample_manifest.json,False
A2_feedback_langsung,entity,0.6395503300817378,0.8888888888888888,0.5555555555555556,0.6481481481481481,0.5434647595020696,0.19591836734693877,0.8900791150318561,0.3161396569927216,0.27387683500092413,583.0,54.0,0.09262435677530018,46,110,0.9173223160206313,8,10,8,8,42,data\synthetic\seed_42\human_annotations_majority_annotation.csv,data\synthetic\seed_42\annotation\sample_manifest.json,False
A2_feedback_langsung,all,0.5242468099267078,0.8888888888888888,0.46296296296296297,0.6111111111111112,0.5276313856892847,0.16271186440677965,0.8741219667943806,0.35217341225831694,0.2854433313391727,750.0,54.0,0.072,46,110,0.9173223160206313,8,10,8,8,42,data\synthetic\seed_42\human_annotations_majority_annotation.csv,data\synthetic\seed_42\annotation\sample_manifest.json,False
A2_feedback_langsung,entity,0.6523635421192328,0.9259259259259259,0.5555555555555556,0.6481481481481481,0.5678451518791151,0.2145922746781116,0.8986557445914722,0.31350266754282885,0.2694786706121532,583.0,54.0,0.09262435677530018,47,129,0.91738218565354,8,10,8,8,42,data\synthetic\seed_42\human_annotations_majority_annotation.csv,data\synthetic\seed_42\annotation\sample_manifest.json,False
A2_feedback_langsung,all,0.5658611584986036,0.9259259259259259,0.48148148148148145,0.5925925925925926,0.5220858137624749,0.16181229773462782,0.8809333759046403,0.37890247960697176,0.3043743697784869,750.0,54.0,0.072,47,129,0.91738218565354,8,10,8,8,42,data\synthetic\seed_42\human_annotations_majority_annotation.csv,data\synthetic\seed_42\annotation\sample_manifest.json,False
A2_feedback_langsung,entity,0.6300305039543297,0.8888888888888888,0.5185185185185185,0.6296296296296297,0.5397274343880304,0.1935483870967742,0.8855282503675699,0.3239111256828463,0.27647924675201874,583.0,54.0,0.09262435677530018,48,91,0.9180796799855865,8,10,8,8,42,data\synthetic\seed_42\human_annotations_majority_annotation.csv,data\synthetic\seed_42\annotation\sample_manifest.json,False
A2_feedback_langsung,all,0.5805685524443563,0.8888888888888888,0.5,0.6296296296296297,0.5148171569375695,0.1553398058252427,0.8754257130693912,0.3624194568263708,0.2915058191873026,750.0,54.0,0.072,48,91,0.9180796799855865,8,10,8,8,42,data\synthetic\seed_42\human_annotations_majority_annotation.csv,data\synthetic\seed_42\annotation\sample_manifest.json,False
A2_feedback_langsung,entity,0.6322361161043519,0.8703703703703703,0.5185185185185185,0.6481481481481481,0.5439374185136897,0.1950207468879668,0.88253518168452,0.31348107779474876,0.27870764560692474,583.0,54.0,0.09262435677530018,49,101,0.927316962866139,8,10,8,8,42,data\synthetic\seed_42\human_annotations_majority_annotation.csv,data\synthetic\seed_42\annotation\sample_manifest.json,False
A2_feedback_langsung,all,0.5434970067089759,0.8703703703703703,0.5,0.5925925925925926,0.5211533892936332,0.15771812080536912,0.8683349297573435,0.3436856407374861,0.2900667361968375,750.0,54.0,0.072,49,101,0.927316962866139,8,10,8,8,42,data\synthetic\seed_42\human_annotations_majority_annotation.csv,data\synthetic\seed_42\annotation\sample_manifest.json,False
A2_feedback_langsung,entity,0.6207439674924055,0.9074074074074074,0.5,0.6296296296296297,0.5416946513615826,0.196,0.8880137226072954,0.33574826830646787,0.3028262120444521,583.0,54.0,0.09262435677530018,50,167,0.9217219763644593,8,10,8,8,42,data\synthetic\seed_42\human_annotations_majority_annotation.csv,data\synthetic\seed_42\annotation\sample_manifest.json,False
A2_feedback_langsung,all,0.5208607735099583,0.9074074074074074,0.46296296296296297,0.5740740740740741,0.48345703178098576,0.14080459770114942,0.8718071519795658,0.39600192234846576,0.3354783177779711,750.0,54.0,0.072,50,167,0.9217219763644593,8,10,8,8,42,data\synthetic\seed_42\human_annotations_majority_annotation.csv,data\synthetic\seed_42\annotation\sample_manifest.json,False
A2_feedback_langsung,entity,0.6315973837197784,0.8703703703703703,0.5555555555555556,0.6296296296296297,0.5565127347312664,0.20346320346320346,0.8855632570188336,0.2961724132487403,0.26185355598858023,583.0,54.0,0.09262435677530018,51,89,0.9140331528648998,8,10,8,8,42,data\synthetic\seed_42\human_annotations_majority_annotation.csv,data\synthetic\seed_42\annotation\sample_manifest.json,False
A2_feedback_langsung,all,0.5633457771215137,0.8703703703703703,0.48148148148148145,0.5925925925925926,0.5322008113590264,0.16433566433566432,0.8658471690080886,0.33829933281909347,0.2783776329174535,750.0,54.0,0.072,51,89,0.9140331528648998,8,10,8,8,42,data\synthetic\seed_42\human_annotations_majority_annotation.csv,data\synthetic\seed_42\annotation\sample_manifest.json,False
A2_feedback_langsung,entity,0.6517610255582175,0.8703703703703703,0.5370370370370371,0.6851851851851852,0.5414482376507692,0.1934156378600823,0.8925295806203178,0.31019815553537544,0.28050274269094605,583.0,54.0,0.09262435677530018,52,159,0.9176300763624623,8,10,8,8,42,data\synthetic\seed_42\human_annotations_majority_annotation.csv,data\synthetic\seed_42\annotation\sample_manifest.json,False
A2_feedback_langsung,all,0.5628602941236244,0.8703703703703703,0.48148148148148145,0.5925925925925926,0.5238972464457219,0.15932203389830507,0.8824499787143465,0.3295302258842339,0.28595054788313623,750.0,54.0,0.072,52,159,0.9176300763624623,8,10,8,8,42,data\synthetic\seed_42\human_annotations_majority_annotation.csv,data\synthetic\seed_42\annotation\sample_manifest.json,False
A2_feedback_langsung,entity,0.6041551540652444,0.8703703703703703,0.5185185185185185,0.6296296296296297,0.5303389572883417,0.1865079365079365,0.8758314079675138,0.33502593039013473,0.29749371947859005,583.0,54.0,0.09262435677530018,53,128,0.9188199987649963,8,10,8,8,42,data\synthetic\seed_42\human_annotations_majority_annotation.csv,data\synthetic\seed_42\annotation\sample_manifest.json,False
