condition,scope,auprc,recall,recall_at_50,recall_at_100,macro_f1,precision,roc_auc,ece,brier,n,n_pos,pos_rate,repeat_seed,best_epoch,val_auprc_weak,n_supervised,budget,n_annotations_used,n_annotations_positive,seed,annotation_source,annotation_manifest,is_fixture
A2_feedback_langsung,entity,0.6416909169447955,0.8703703703703703,0.5185185185185185,0.6666666666666666,0.5389668753592328,0.19183673469387755,0.891689420989988,0.3158704398897346,0.2682838675453323,583.0,54.0,0.09262435677530018,42,126,0.9170655478830323,7,10,7,1,42,data\synthetic\seed_42\human_annotations_majority_ronde2.csv,data\synthetic\seed_42\ronde2\sample_manifest.json,False
A2_feedback_langsung,all,0.5725312729722359,0.8703703703703703,0.46296296296296297,0.6111111111111112,0.51479301497245,0.1540983606557377,0.8752128565346956,0.35918074982645426,0.28902000103837033,750.0,54.0,0.072,42,126,0.9170655478830323,7,10,7,1,42,data\synthetic\seed_42\human_annotations_majority_ronde2.csv,data\synthetic\seed_42\ronde2\sample_manifest.json,False
A2_feedback_langsung,entity,0.6375849985381644,0.8703703703703703,0.5185185185185185,0.6666666666666666,0.578491174417445,0.21962616822429906,0.8871035496744382,0.2729497816860482,0.2312788268557655,583.0,54.0,0.09262435677530018,43,109,0.9171215512172465,7,10,7,1,42,data\synthetic\seed_42\human_annotations_majority_ronde2.csv,data\synthetic\seed_42\ronde2\sample_manifest.json,False
A2_feedback_langsung,all,0.5953045935886417,0.8703703703703703,0.5185185185185185,0.6296296296296297,0.5559574040586699,0.18007662835249041,0.8761441038739889,0.2991126728515179,0.2364868524138463,750.0,54.0,0.072,43,109,0.9171215512172465,7,10,7,1,42,data\synthetic\seed_42\human_annotations_majority_ronde2.csv,data\synthetic\seed_42\ronde2\sample_manifest.json,False
A2_feedback_langsung,entity,0.633692322005791,0.8703703703703703,0.5370370370370371,0.7037037037037037,0.561610068962744,0.20704845814977973,0.8961002590492193,0.2840134217201946,0.24715085011497495,583.0,54.0,0.09262435677530018,44,105,0.9193327317129956,7,10,7,1,42,data\synthetic\seed_42\human_annotations_majority_ronde2.csv,data\synthetic\seed_42\ronde2\sample_manifest.json,False
A2_feedback_langsung,all,0.5606263965323528,0.8703703703703703,0.46296296296296297,0.6111111111111112,0.5415695415695416,0.17028985507246377,0.8779001702852278,0.32536721445851313,0.26295916587942736,750.0,54.0,0.072,44,105,0.9193327317129956,7,10,7,1,42,data\synthetic\seed_42\human_annotations_majority_ronde2.csv,data\synthetic\seed_42\ronde2\sample_manifest.json,False
A2_feedback_langsung,entity,0.637453520728129,0.8333333333333334,0.5370370370370371,0.6666666666666666,0.5360887474255758,0.1875,0.8841279843170202,0.3114357262832871,0.2736474296650114,583.0,54.0,0.09262435677530018,45,103,0.9207165059816715,7,10,7,1,42,data\synthetic\seed_42\human_annotations_majority_ronde2.csv,data\synthetic\seed_42\ronde2\sample_manifest.json,False
A2_feedback_langsung,all,0.5628284625960162,0.8333333333333334,0.48148148148148145,0.5740740740740741,0.5191392592741007,0.1541095890410959,0.8764633886760324,0.3234041234793014,0.27492250411338887,750.0,54.0,0.072,45,103,0.9207165059816715,7,10,7,1,42,data\synthetic\seed_42\human_annotations_majority_ronde2.csv,data\synthetic\seed_42\ronde2\sample_manifest.json,False
A2_feedback_langsung,entity,0.6136995778696847,0.9074074074074074,0.5,0.6296296296296297,0.5467051578137028,0.1991869918699187,0.8860008401596304,0.32318881640120545,0.29185846889207995,583.0,54.0,0.09262435677530018,46,169,0.9213825001682777,7,10,7,1,42,data\synthetic\seed_42\human_annotations_majority_ronde2.csv,data\synthetic\seed_42\ronde2\sample_manifest.json,False
A2_feedback_langsung,all,0.5072926780154837,0.9074074074074074,0.46296296296296297,0.5555555555555556,0.5285773677541971,0.1644295302013423,0.8734567901234568,0.35426029371556556,0.3000575680037316,750.0,54.0,0.072,46,169,0.9213825001682777,7,10,7,1,42,data\synthetic\seed_42\human_annotations_majority_ronde2.csv,data\synthetic\seed_42\ronde2\sample_manifest.json,False
A3_feedback_propagasi,entity,0.6487350371683627,0.8703703703703703,0.5555555555555556,0.7222222222222222,0.5539792209233647,0.2017167381974249,0.8947349996499335,0.3004660093850341,0.2564749895592597,583.0,54.0,0.09262435677530018,42,123,0.9118600691272519,24,10,7,1,42,data\synthetic\seed_42\human_annotations_majority_ronde2.csv,data\synthetic\seed_42\ronde2\sample_manifest.json,False
A3_feedback_propagasi,all,0.5795128987670237,0.8703703703703703,0.5,0.6296296296296297,0.5275738753999624,0.16151202749140894,0.8769423158790975,0.3427992452877413,0.27424540873561354,750.0,54.0,0.072,42,123,0.9118600691272519,24,10,7,1,42,data\synthetic\seed_42\human_annotations_majority_ronde2.csv,data\synthetic\seed_42\ronde2\sample_manifest.json,False
A3_feedback_propagasi,entity,0.6269752261904529,0.9074074074074074,0.5185185185185185,0.7037037037037037,0.577536231884058,0.22072072072072071,0.8980956381712525,0.2794692162127052,0.2378142661033358,583.0,54.0,0.09262435677530018,43,109,0.9119067124685231,24,10,7,1,42,data\synthetic\seed_42\human_annotations_majority_ronde2.csv,data\synthetic\seed_42\ronde2\sample_manifest.json,False
A3_feedback_propagasi,all,0.5819279338364097,0.9074074074074074,0.5,0.6851851851851852,0.5561207982723564,0.1821561338289963,0.8896604938271605,0.31154465439094964,0.24398429813986974,750.0,54.0,0.072,43,109,0.9119067124685231,24,10,7,1,42,data\synthetic\seed_42\human_annotations_majority_ronde2.csv,data\synthetic\seed_42\ronde2\sample_manifest.json,False
A3_feedback_propagasi,entity,0.5908356880094179,0.9074074074074074,0.5,0.6851851851851852,0.5645104895104895,0.21120689655172414,0.8908842680109221,0.29092938698660353,0.25169319588650524,583.0,54.0,0.09262435677530018,44,136,0.9187219110582063,24,10,7,1,42,data\synthetic\seed_42\human_annotations_majority_ronde2.csv,data\synthetic\seed_42\ronde2\sample_manifest.json,False
A3_feedback_propagasi,all,0.5395158273742596,0.9074074074074074,0.5,0.6111111111111112,0.5455059007200008,0.175,0.883833546189868,0.3218978390520676,0.25853479369469606,750.0,54.0,0.072,44,136,0.9187219110582063,24,10,7,1,42,data\synthetic\seed_42\human_annotations_majority_ronde2.csv,data\synthetic\seed_42\ronde2\sample_manifest.json,False
A3_feedback_propagasi,entity,0.6191395763865819,0.8888888888888888,0.5370370370370371,0.6666666666666666,0.553519882179676,0.20253164556962025,0.8919344675488343,0.31372458001007464,0.2674220881863567,583.0,54.0,0.09262435677530018,45,92,0.9154821735683598,24,10,7,1,42,data\synthetic\seed_42\human_annotations_majority_ronde2.csv,data\synthetic\seed_42\ronde2\sample_manifest.json,False
A3_feedback_propagasi,all,0.5758167806987202,0.8888888888888888,0.48148148148148145,0.6296296296296297,0.5332001179283913,0.16608996539792387,0.8871062154108131,0.3326109889435753,0.269616818286996,750.0,54.0,0.072,45,92,0.9154821735683598,24,10,7,1,42,data\synthetic\seed_42\human_annotations_majority_ronde2.csv,data\synthetic\seed_42\ronde2\sample_manifest.json,False
A3_feedback_propagasi,entity,0.5871404203342896,0.8703703703703703,0.5185185185185185,0.6296296296296297,0.5205735474417631,0.18076923076923077,0.8690401176223482,0.3384512500673929,0.29122764726966927,583.0,54.0,0.09262435677530018,46,73,0.9058843001013587,24,10,7,1,42,data\synthetic\seed_42\human_annotations_majority_ronde2.csv,data\synthetic\seed_42\ronde2\sample_manifest.json,False
A3_feedback_propagasi,all,0.48599074151975397,0.8703703703703703,0.4444444444444444,0.5740740740740741,0.5084858472836615,0.15064102564102563,0.856215410813112,0.3761267207035969,0.3021454087631034,750.0,54.0,0.072,46,73,0.9058843001013587,24,10,7,1,42,data\synthetic\seed_42\human_annotations_majority_ronde2.csv,data\synthetic\seed_42\ronde2\sample_manifest.json,False
A2_feedback_langsung,entity,0.6689790284077921,0.8703703703703703,0.5370370370370371,0.7407407407407407,0.5501968193985198,0.19915254237288135,0.9013162500875167,0.299636645924323,0.25053937036399626,583.0,54.0,0.09262435677530018,42,126,0.917908762395659,19,25,19,5,42,data\synthetic\seed_42\human_annotations_majority_ronde2.csv,data\synthetic\seed_42\ronde2\sample_manifest.json,False
A2_feedback_langsung,all,0.5783969619199008,0.8703703703703703,0.48148148148148145,0.6111111111111112,0.5211533892936332,0.15771812080536912,0.882716049382716,0.34786641777154104,0.27678313884708017,750.0,54.0,0.072,42,126,0.917908762395659,19,25,19,5,42,data\synthetic\seed_42\human_annotations_majority_ronde2.csv,data\synthetic\seed_42\ronde2\sample_manifest.json,False
A2_feedback_langsung,entity,0.6543937107432822,0.8703703703703703,0.5740740740740741,0.7037037037037037,0.5680426640612278,0.21171171171171171,0.8873485962332843,0.27920297868705635,0.23859098170974263,583.0,54.0,0.09262435677530018,43,108,0.91941304201955,19,25,19,5,42,data\synthetic\seed_42\human_annotations_majority_ronde2.csv,data\synthetic\seed_42\ronde2\sample_manifest.json,False
A2_feedback_langsung,all,0.6106485033686805,0.8703703703703703,0.5185185185185185,0.6481481481481481,0.5491885393708675,0.17537313432835822,0.8741751809280545,0.3047673610694401,0.2449536457243742,750.0,54.0,0.072,43,108,0.91941304201955,19,25,19,5,42,data\synthetic\seed_42\human_annotations_majority_ronde2.csv,data\synthetic\seed_42\ronde2\sample_manifest.json,False
A2_feedback_langsung,entity,0.6363457668064881,0.8888888888888888,0.5370370370370371,0.6481481481481481,0.5522554151907464,0.20168067226890757,0.8943849331372962,0.3116541935174759,0.26881600787923926,583.0,54.0,0.09262435677530018,44,104,0.9194662942306684,19,25,19,5,42,data\synthetic\seed_42\human_annotations_majority_ronde2.csv,data\synthetic\seed_42\ronde2\sample_manifest.json,False
A2_feedback_langsung,all,0.5721286230310813,0.8888888888888888,0.5,0.6111111111111112,0.5341332606126716,0.16666666666666666,0.8815453384418901,0.347844706894634,0.2801661701376246,750.0,54.0,0.072,44,104,0.9194662942306684,19,25,19,5,42,data\synthetic\seed_42\human_annotations_majority_ronde2.csv,data\synthetic\seed_42\ronde2\sample_manifest.json,False
A2_feedback_langsung,entity,0.6233365331454672,0.9074074074074074,0.5185185185185185,0.6296296296296297,0.5441961000735835,0.1975806451612903,0.8896240285654275,0.3164358384231051,0.2746203345640493,583.0,54.0,0.09262435677530018,45,89,0.9191205129055805,19,25,19,5,42,data\synthetic\seed_42\human_annotations_majority_ronde2.csv,data\synthetic\seed_42\ronde2\sample_manifest.json,False
A2_feedback_langsung,all,0.5623238253806891,0.9074074074074074,0.5,0.5740740740740741,0.5248782116759645,0.16225165562913907,0.8818646232439337,0.3297301841289684,0.2776597351473065,750.0,54.0,0.072,45,89,0.9191205129055805,19,25,19,5,42,data\synthetic\seed_42\human_annotations_majority_ronde2.csv,data\synthetic\seed_42\ronde2\sample_manifest.json,False
A2_feedback_langsung,entity,0.6122727834029165,0.8148148148148148,0.5555555555555556,0.6481481481481481,0.5563238519197408,0.2,0.8788419799761955,0.27858982092986234,0.24239380682527925,583.0,54.0,0.09262435677530018,46,104,0.9149652665817037,19,25,19,5,42,data\synthetic\seed_42\human_annotations_majority_ronde2.csv,data\synthetic\seed_42\ronde2\sample_manifest.json,False
A2_feedback_langsung,all,0.48541624148978835,0.8148148148148148,0.4444444444444444,0.6111111111111112,0.5363928337511278,0.16356877323420074,0.85789165602384,0.31719897429868105,0.2560782215692076,750.0,54.0,0.072,46,104,0.9149652665817037,19,25,19,5,42,data\synthetic\seed_42\human_annotations_majority_ronde2.csv,data\synthetic\seed_42\ronde2\sample_manifest.json,False
A3_feedback_propagasi,entity,0.6276738010777262,0.9074074074074074,0.5185185185185185,0.6851851851851852,0.5379560355386348,0.19367588932806323,0.8870335363719107,0.32260123691911624,0.27119924868250905,583.0,54.0,0.09262435677530018,42,107,0.9083406515091769,59,25,19,5,42,data\synthetic\seed_42\human_annotations_majority_ronde2.csv,data\synthetic\seed_42\ronde2\sample_manifest.json,False
A3_feedback_propagasi,all,0.5843586094603602,0.9074074074074074,0.48148148148148145,0.6111111111111112,0.506653668509124,0.15217391304347827,0.8766230310770541,0.3752074515609588,0.2950142046681477,750.0,54.0,0.072,42,107,0.9083406515091769,59,25,19,5,42,data\synthetic\seed_42\human_annotations_majority_ronde2.csv,data\synthetic\seed_42\ronde2\sample_manifest.json,False
A3_feedback_propagasi,entity,0.5993111239768121,0.8703703703703703,0.5,0.7037037037037037,0.5451850464956625,0.19583333333333333,0.8758314079675138,0.31087067127273793,0.2684597436753945,583.0,54.0,0.09262435677530018,43,84,0.9113838416028738,59,25,19,5,42,data\synthetic\seed_42\human_annotations_majority_ronde2.csv,data\synthetic\seed_42\ronde2\sample_manifest.json,False
A3_feedback_propagasi,all,0.563380456519778,0.8703703703703703,0.46296296296296297,0.5925925925925926,0.5275738753999624,0.16151202749140894,0.8704235845040443,0.33603757053562505,0.2691230570721041,750.0,54.0,0.072,43,84,0.9113838416028738,59,25,19,5,42,data\synthetic\seed_42\human_annotations_majority_ronde2.csv,data\synthetic\seed_42\ronde2\sample_manifest.json,False
A3_feedback_propagasi,entity,0.6331664174801814,0.8703703703703703,0.5185185185185185,0.6851851851851852,0.5451850464956625,0.19583333333333333,0.897360498494714,0.3070933184781738,0.269005809705862,583.0,54.0,0.09262435677530018,44,133,0.9134677742208409,59,25,19,5,42,data\synthetic\seed_42\human_annotations_majority_ronde2.csv,data\synthetic\seed_42\ronde2\sample_manifest.json,False
A3_feedback_propagasi,all,0.5689309090469752,0.8703703703703703,0.48148148148148145,0.6666666666666666,0.5248144157088123,0.1598639455782313,0.888835674755215,0.33922036115070664,0.27799014985889287,750.0,54.0,0.072,44,133,0.9134677742208409,59,25,19,5,42,data\synthetic\seed_42\human_annotations_majority_ronde2.csv,data\synthetic\seed_42\ronde2\sample_manifest.json,False
A3_feedback_propagasi,entity,0.6201812898420509,0.9074074074074074,0.5185185185185185,0.7407407407407407,0.563223174893865,0.21030042918454936,0.8961702723517468,0.2954787894259755,0.2517452459491927,583.0,54.0,0.09262435677530018,45,93,0.9078765279954377,59,25,19,5,42,data\synthetic\seed_42\human_annotations_majority_ronde2.csv,data\synthetic\seed_42\ronde2\sample_manifest.json,False
