condition,scope,auprc,recall,recall_at_50,recall_at_100,macro_f1,precision,roc_auc,ece,brier,n,n_pos,pos_rate,repeat_seed,best_epoch,val_auprc_weak,n_supervised,budget,n_annotations_used,n_annotations_positive,seed,annotation_source,is_fixture
A3_feedback_propagasi,all,0.6028732061661655,0.9259259259259259,0.5,0.6111111111111112,0.5332247290471833,0.16835016835016836,0.895966368667518,0.3403553534187682,0.2798914837381611,750.0,54.0,0.072,43,111,0.923339555384812,26,10,8,8,42,D:\Personal\satpam\data\synthetic\seed_42\human_annotations_majority.csv,False
A3_feedback_propagasi,entity,0.6105289717246449,0.9074074074074074,0.5,0.6296296296296297,0.5392004863961088,0.19444444444444445,0.882937758174053,0.33351486468374175,0.28930567350015063,583.0,54.0,0.09262435677530018,44,108,0.9227634687490416,26,10,8,8,42,D:\Personal\satpam\data\synthetic\seed_42\human_annotations_majority.csv,False
A3_feedback_propagasi,all,0.5257036402360694,0.9074074074074074,0.46296296296296297,0.5370370370370371,0.523036131847489,0.1611842105263158,0.868880374627501,0.371628011162899,0.30199636895827686,750.0,54.0,0.072,44,108,0.9227634687490416,26,10,8,8,42,D:\Personal\satpam\data\synthetic\seed_42\human_annotations_majority.csv,False
A3_feedback_propagasi,entity,0.6348302921824978,0.8703703703703703,0.5370370370370371,0.6111111111111112,0.5603318250377074,0.20614035087719298,0.8848631239935588,0.292377130834375,0.25984723217325956,583.0,54.0,0.09262435677530018,45,119,0.9238698949258458,26,10,8,8,42,D:\Personal\satpam\data\synthetic\seed_42\human_annotations_majority.csv,False
A3_feedback_propagasi,all,0.5892226878950505,0.8703703703703703,0.5,0.5740740740740741,0.5406252665148771,0.16967509025270758,0.8752128565346956,0.30583780960377643,0.26104576162999477,750.0,54.0,0.072,45,119,0.9238698949258458,26,10,8,8,42,D:\Personal\satpam\data\synthetic\seed_42\human_annotations_majority.csv,False
A3_feedback_propagasi,entity,0.6650503810254405,0.9259259259259259,0.5555555555555556,0.7222222222222222,0.5274600008142328,0.18867924528301888,0.9061471679619127,0.3509012805055821,0.2997007187374743,583.0,54.0,0.09262435677530018,46,99,0.9167843490839809,26,10,8,8,42,D:\Personal\satpam\data\synthetic\seed_42\human_annotations_majority.csv,False
A3_feedback_propagasi,all,0.5550766181390844,0.9259259259259259,0.46296296296296297,0.6481481481481481,0.5102029226925116,0.15527950310559005,0.8913101319710515,0.3828066595741133,0.31049937731475696,750.0,54.0,0.072,46,99,0.9167843490839809,26,10,8,8,42,D:\Personal\satpam\data\synthetic\seed_42\human_annotations_majority.csv,False
A2_feedback_langsung,entity,0.669570949639776,0.9259259259259259,0.5740740740740741,0.6851851851851852,0.5398753082363781,0.19607843137254902,0.900336063852132,0.3320932829790392,0.29070548296123355,583.0,54.0,0.09262435677530018,42,131,0.9181320357811985,19,25,19,18,42,D:\Personal\satpam\data\synthetic\seed_42\human_annotations_majority.csv,False
A2_feedback_langsung,all,0.5781381997370393,0.9259259259259259,0.5185185185185185,0.6111111111111112,0.5083892142715671,0.15432098765432098,0.8826628352490421,0.38619727930000414,0.31798035800620333,750.0,54.0,0.072,42,131,0.9181320357811985,19,25,19,18,42,D:\Personal\satpam\data\synthetic\seed_42\human_annotations_majority.csv,False
A2_feedback_langsung,entity,0.6323132820640027,0.8703703703703703,0.5185185185185185,0.6481481481481481,0.5641746776416013,0.2088888888888889,0.8886438423300427,0.27912464050662555,0.24121779905385093,583.0,54.0,0.09262435677530018,43,109,0.9231847002045541,19,25,19,18,42,D:\Personal\satpam\data\synthetic\seed_42\human_annotations_majority.csv,False
A2_feedback_langsung,all,0.579066994021613,0.8703703703703703,0.5,0.6111111111111112,0.5368650310678368,0.16725978647686832,0.8770487441464453,0.31265381758163535,0.2532530044073674,750.0,54.0,0.072,43,109,0.9231847002045541,19,25,19,18,42,D:\Personal\satpam\data\synthetic\seed_42\human_annotations_majority.csv,False
A2_feedback_langsung,entity,0.6446729486615086,0.8703703703703703,0.5555555555555556,0.6481481481481481,0.5426918297607952,0.19421487603305784,0.891444374431142,0.3160314351836915,0.27539025143156715,583.0,54.0,0.09262435677530018,44,104,0.9175679989973116,19,25,19,18,42,D:\Personal\satpam\data\synthetic\seed_42\human_annotations_majority.csv,False
A2_feedback_langsung,all,0.5729133972237749,0.8703703703703703,0.5,0.6111111111111112,0.5220667544427335,0.15824915824915825,0.8751064282673477,0.35126026847603636,0.28748975290242645,750.0,54.0,0.072,44,104,0.9175679989973116,19,25,19,18,42,D:\Personal\satpam\data\synthetic\seed_42\human_annotations_majority.csv,False
A2_feedback_langsung,entity,0.6849309705749006,0.9444444444444444,0.5555555555555556,0.7222222222222222,0.5724671288643652,0.21888412017167383,0.9118182454666387,0.3000429054544619,0.2578855579938414,583.0,54.0,0.09262435677530018,45,106,0.9178861415256404,19,25,19,18,42,D:\Personal\satpam\data\synthetic\seed_42\human_annotations_majority.csv,False
A2_feedback_langsung,all,0.615951824511343,0.9444444444444444,0.5185185185185185,0.6666666666666666,0.5474137931034483,0.17832167832167833,0.9020061728395061,0.3220745708628051,0.2656692117143233,750.0,54.0,0.072,45,106,0.9178861415256404,19,25,19,18,42,D:\Personal\satpam\data\synthetic\seed_42\human_annotations_majority.csv,False
A2_feedback_langsung,entity,0.638348317623612,0.9074074074074074,0.5370370370370371,0.6481481481481481,0.5194724912425304,0.1828358208955224,0.8878736960022404,0.3648768265142639,0.3211010361107965,583.0,54.0,0.09262435677530018,46,110,0.9146425314527349,19,25,19,18,42,D:\Personal\satpam\data\synthetic\seed_42\human_annotations_majority.csv,False
A2_feedback_langsung,all,0.5576729458190288,0.9074074074074074,0.46296296296296297,0.6111111111111112,0.5057526377574278,0.15170278637770898,0.8774478501489996,0.39553582853703384,0.3273146623168715,750.0,54.0,0.072,46,110,0.9146425314527349,19,25,19,18,42,D:\Personal\satpam\data\synthetic\seed_42\human_annotations_majority.csv,False
A3_feedback_propagasi,entity,0.6690412341146457,0.8888888888888888,0.5555555555555556,0.6481481481481481,0.5484753546478818,0.1991701244813278,0.8975355317510327,0.3193520693338639,0.2818380680263716,583.0,54.0,0.09262435677530018,42,155,0.9207364657412599,53,25,19,18,42,D:\Personal\satpam\data\synthetic\seed_42\human_annotations_majority.csv,False
A3_feedback_propagasi,all,0.5859583652867982,0.8888888888888888,0.48148148148148145,0.6296296296296297,0.5184549544820919,0.15737704918032788,0.8785653469561515,0.3640998843791712,0.30470896499600025,750.0,54.0,0.072,42,155,0.9207364657412599,53,25,19,18,42,D:\Personal\satpam\data\synthetic\seed_42\human_annotations_majority.csv,False
A3_feedback_propagasi,entity,0.6553184174873296,0.9074074074074074,0.5185185185185185,0.7407407407407407,0.5658004261505069,0.21212121212121213,0.8987257578939999,0.2877552363598014,0.24563454678996555,583.0,54.0,0.09262435677530018,43,109,0.9256684335292982,53,25,19,18,42,D:\Personal\satpam\data\synthetic\seed_42\human_annotations_majority.csv,False
A3_feedback_propagasi,all,0.6004478177647316,0.9074074074074074,0.5,0.6296296296296297,0.5426490887426614,0.17314487632508835,0.8889154959557258,0.3140621966479813,0.2542499512411065,750.0,54.0,0.072,43,109,0.9256684335292982,53,25,19,18,42,D:\Personal\satpam\data\synthetic\seed_42\human_annotations_majority.csv,False
A3_feedback_propagasi,entity,0.6237592609342284,0.9074074074074074,0.5185185185185185,0.6296296296296297,0.5841637634253438,0.22580645161290322,0.8933697402506476,0.2756769213348088,0.2291857714828081,583.0,54.0,0.09262435677530018,44,79,0.9185490920874467,53,25,19,18,42,D:\Personal\satpam\data\synthetic\seed_42\human_annotations_majority.csv,False
A3_feedback_propagasi,all,0.509720465888049,0.9074074074074074,0.4444444444444444,0.5740740740740741,0.5580763041703328,0.18352059925093633,0.8710355470412942,0.32766291236295875,0.25468508223825637,750.0,54.0,0.072,44,79,0.9185490920874467,53,25,19,18,42,D:\Personal\satpam\data\synthetic\seed_42\human_annotations_majority.csv,False
A3_feedback_propagasi,entity,0.639233084050867,0.8703703703703703,0.5185185185185185,0.6481481481481481,0.5527160845355606,0.20085470085470086,0.8863334033466358,0.3142839850978255,0.2803515003071844,583.0,54.0,0.09262435677530018,45,119,0.9225876269906993,53,25,19,18,42,D:\Personal\satpam\data\synthetic\seed_42\human_annotations_majority.csv,False
A3_feedback_propagasi,all,0.598944412066193,0.8703703703703703,0.5185185185185185,0.5925925925925926,0.5368650310678368,0.16725978647686832,0.887159429544487,0.3195187427205804,0.2747154296215634,750.0,54.0,0.072,45,119,0.9225876269906993,53,25,19,18,42,D:\Personal\satpam\data\synthetic\seed_42\human_annotations_majority.csv,False
A3_feedback_propagasi,entity,0.6348094933363969,0.9259259259259259,0.5370370370370371,0.6851851851851852,0.5274600008142328,0.18867924528301888,0.8972904851921866,0.3525261129908558,0.30355573557087534,583.0,54.0,0.09262435677530018,46,95,0.9153473908151734,53,25,19,18,42,D:\Personal\satpam\data\synthetic\seed_42\human_annotations_majority.csv,False
A3_feedback_propagasi,all,0.533757027549746,0.9259259259259259,0.46296296296296297,0.5740740740740741,0.5102029226925116,0.15527950310559005,0.8833812260536399,0.38050317848419346,0.31174324016502447,750.0,54.0,0.072,46,95,0.9153473908151734,53,25,19,18,42,D:\Personal\satpam\data\synthetic\seed_42\human_annotations_majority.csv,False
