seed,model,split,scope,auprc,recall,recall_at_50,recall_at_100,macro_f1,precision,roc_auc,ece,brier,n,n_pos,pos_rate,best_epoch,val_auprc_weak,num_parameters,num_features
42,rgcn,val,entity,0.7110519278217678,0.8181818181818182,0.6545454545454545,0.7272727272727273,0.5114014095159782,0.17578125,0.8632656663724625,0.36303554872775334,0.32635477960952036,570.0,55.0,0.09649122807017543,184.0,0.9230658400449678,144130.0,
42,rgcn,val,all,0.5481738296112233,0.8181818181818182,0.4909090909090909,0.6909090909090909,0.4924566517755736,0.14018691588785046,0.8402092871157619,0.38998188498446584,0.3339013588533946,750.0,55.0,0.07333333333333333,184.0,0.9230658400449678,144130.0,
42,rgcn,test,entity,0.6782094906540411,0.9074074074074074,0.5555555555555556,0.7037037037037037,0.5354722011381616,0.19215686274509805,0.9046768886088357,0.3464528943496014,0.3074151968413174,583.0,54.0,0.09262435677530018,184.0,0.9230658400449678,144130.0,
42,rgcn,test,all,0.6011184082060336,0.9074074074074074,0.5,0.6111111111111112,0.5138942233830082,0.15605095541401273,0.8920285227756493,0.3791566362025326,0.31962111194651094,750.0,54.0,0.072,184.0,0.9230658400449678,144130.0,
42,rule_based,val,entity,0.18326152845172702,0.8727272727272727,0.18181818181818182,0.34545454545454546,0.48252666119770304,0.16551724137931034,0.7417122683142101,0.40701754452628003,0.31394736967850156,570.0,55.0,0.09649122807017543,,,,
42,rule_based,val,all,0.14126683892716324,0.8727272727272727,0.18181818181818182,0.2727272727272727,0.43459876517212626,0.12030075187969924,0.7334597776324395,0.44653333440423015,0.33373333500027663,750.0,55.0,0.07333333333333333,,,,
42,rule_based,test,entity,0.20450920672360567,0.8518518518518519,0.3333333333333333,0.4074074074074074,0.47215842553265863,0.15488215488215487,0.7602394454946438,0.4079759868682964,0.307903088116012,583.0,54.0,0.09262435677530018,,,,
42,rule_based,test,all,0.16926139345347355,0.8518518518518519,0.3333333333333333,0.37037037037037035,0.42828143293941257,0.115,0.7517959770114941,0.4427333345711231,0.3222566683367889,750.0,54.0,0.072,,,,
42,mlp,val,entity,0.284340023344463,0.5818181818181818,0.3090909090909091,0.43636363636363634,0.4472404184122871,0.12213740458015267,0.6504501323918801,0.3701589123983132,0.26177971160103336,570.0,55.0,0.09649122807017543,56.0,0.7534658105778519,4866.0,
42,mlp,val,all,0.22099848506805464,0.5818181818181818,0.2545454545454545,0.34545454545454546,0.4057895414594115,0.08602150537634409,0.6300327011118376,0.41072468093037606,0.28512441942918265,750.0,55.0,0.07333333333333333,56.0,0.7534658105778519,4866.0,
42,mlp,test,entity,0.26499811503858983,0.5740740740740741,0.2962962962962963,0.4074074074074074,0.4594467244262046,0.12301587301587301,0.6419869775257298,0.36424530866215604,0.258568953035308,583.0,54.0,0.09262435677530018,56.0,0.7534658105778519,4866.0,
42,mlp,test,all,0.2325423709608553,0.5740740740740741,0.25925925925925924,0.3888888888888889,0.41834456930522806,0.08781869688385269,0.6271285653469562,0.39784982969363525,0.27249312009726484,750.0,54.0,0.072,56.0,0.7534658105778519,4866.0,
42,xgb_graph,val,entity,0.4106670545102056,0.7636363636363637,0.4,0.5636363636363636,0.5175208103500151,0.175,0.8042365401588703,0.3263092654310943,0.2800100239564675,570.0,55.0,0.09649122807017543,153.0,0.8874464062778523,,160.0
42,xgb_graph,val,all,0.3975701440733854,0.7636363636363637,0.4,0.5636363636363636,0.5017177462576348,0.14093959731543623,0.8122956180510138,0.33388898767554204,0.26250503017033566,750.0,55.0,0.07333333333333333,153.0,0.8874464062778523,,160.0
42,xgb_graph,test,entity,0.3914142652501227,0.8333333333333334,0.3888888888888889,0.5370370370370371,0.5373178674610715,0.18828451882845187,0.8452005881117411,0.3200123951508581,0.25706767682740306,583.0,54.0,0.09262435677530018,153.0,0.8874464062778523,,160.0
42,xgb_graph,test,all,0.3816977171824069,0.8333333333333334,0.3888888888888889,0.5370370370370371,0.527340271629445,0.15901060070671377,0.8640644955300127,0.3176070350170291,0.23583350510216963,750.0,54.0,0.072,153.0,0.8874464062778523,,160.0
42,gcn_homogeneous,val,entity,0.568731441332959,0.8545454545454545,0.5272727272727272,0.5818181818181818,0.5165096158294906,0.18146718146718147,0.8380935569285084,0.3474362324232526,0.28457435037752327,570.0,55.0,0.09649122807017543,105.0,0.9042180453342663,21250.0,
