seed,model,temperature,weak_positive_rate_val,gt_positive_rate_test,ece_before,ece_after,ece_prior_corrected,brier_before,brier_after,brier_prior_corrected,auprc_before,auprc_after
42,rgcn,1.6010870933532715,0.43508771929824563,0.09262435677530018,0.3464528943496014,0.341286086965363,0.16771281673350472,0.3074151968413174,0.27535275319385893,0.1272379699943503,0.6782094906540411,0.6782094906540409
42,rule_based,,0.43508771929824563,0.09262435677530018,0.4079759868682964,0.4079759868682964,0.17213061818964698,0.307903088116012,0.307903088116012,0.17691673474971978,0.20450920672360567,0.20450920672360567
42,mlp,0.8895977735519409,0.43508771929824563,0.09262435677530018,0.36424530866215604,0.36004295016081417,0.10582548704020253,0.258568953035308,0.26407367785184327,0.10462524437677993,0.26499811503858983,0.26499811503858983
42,xgb_graph,1.244126558303833,0.43508771929824563,0.09262435677530018,0.3200123951508581,0.3223534285775378,0.11299722722952121,0.25706767682740306,0.24413595500259913,0.10935121375999952,0.3914142652501227,0.3914142652501227
42,gcn_homogeneous,1.1074104309082031,0.43508771929824563,0.09262435677530018,0.3405922663098615,0.3401310879770787,0.1461636189126208,0.2750437194541648,0.2681077826704449,0.12011903167784974,0.555775134641385,0.555775134641385
43,rgcn,1.2403498888015747,0.47593582887700536,0.06548672566371681,0.40825833191755695,0.4065687336631056,0.19891166292013154,0.3618702074425533,0.3466422344907214,0.15685649347913128,0.4556136557325617,0.4556136557325617
43,rule_based,,0.47593582887700536,0.06548672566371681,0.5013274343667832,0.5013274343667832,0.18760757475495232,0.37406637208546173,0.37406637208546173,0.19804693824399588,0.10505537535223822,0.10505537535223822
43,mlp,0.9039780497550964,0.47593582887700536,0.06548672566371681,0.3842121747924031,0.38346828811398126,0.10375647124632527,0.2865275902187084,0.292288394065822,0.10188650963753725,0.08906240526129097,0.08906240526129097
43,xgb_graph,0.8277347087860107,0.47593582887700536,0.06548672566371681,0.37707090830117207,0.37599040788342863,0.1468581130259631,0.2971646482496983,0.31236693276824257,0.1197518675385511,0.16390326191602,0.16390326191602
43,gcn_homogeneous,0.9118857979774475,0.47593582887700536,0.06548672566371681,0.3748080734888285,0.37731501684816837,0.1165502329998303,0.28386979390986067,0.29166986968456526,0.08147537298916806,0.5708478402838131,0.5708478402838131
44,rgcn,1.6085734367370605,0.4067796610169492,0.03368794326241135,0.4483290652820041,0.42918371388622556,0.11315914107478812,0.3880839223136985,0.3440947888592395,0.08084761138806283,0.08573667638748497,0.08573667638748497
44,rule_based,,0.4067796610169492,0.03368794326241135,0.47898936321866425,0.47898936321866425,0.16943862231247858,0.35718528497937735,0.35718528497937735,0.17264725184487376,0.03500908331045715,0.03500908331045715
44,mlp,0.9933423399925232,0.4067796610169492,0.03368794326241135,0.46560943034867236,0.46560788324023494,0.06855341475266076,0.3202679130869963,0.32080744675204664,0.05656780244316886,0.041367589501329544,0.041367589501329544
44,xgb_graph,1.358539342880249,0.4067796610169492,0.03368794326241135,0.4026477353948504,0.40426910154732826,0.0864307693459711,0.3302479544416861,0.3052672657415244,0.06531688880973609,0.11551510178402503,0.11551510178402503
44,gcn_homogeneous,1.2634779214859009,0.4067796610169492,0.03368794326241135,0.4201656750155849,0.40674150641705714,0.07630885804074068,0.33592060208307295,0.31166889137457016,0.05380524341233834,0.048993518975501804,0.048993518975501804
45,rgcn,1.3912748098373413,0.4377104377104377,0.0703971119133574,0.3989793809593659,0.39297122357540326,0.17609584810840204,0.34606734691200725,0.32059434954802435,0.1347195732525439,0.41108001919435,0.41108001919435
45,rule_based,,0.4377104377104377,0.0703971119133574,0.47003610122827844,0.47003610122827844,0.18063617077280347,0.35004512646138036,0.35004512646138036,0.17238781813384085,0.14754106886734947,0.14754106886734947
45,mlp,1.0512077808380127,0.4377104377104377,0.0703971119133574,0.4195232506528739,0.41861032214291416,0.10791250786585453,0.31560938583573717,0.31092757852744024,0.08173775886315271,0.24355545250508776,0.24355545250508776
45,xgb_graph,1.0238841772079468,0.4377104377104377,0.0703971119133574,0.3873795218268134,0.38812817789745324,0.1543568589094986,0.3202080038317897,0.31813955080485967,0.12115003390390844,0.24987107853548893,0.24987107853548893
45,gcn_homogeneous,1.112776756286621,0.4377104377104377,0.0703971119133574,0.4315638924896271,0.42583179774388036,0.20262372115139304,0.3657209336141803,0.35614380057648043,0.15333190143284328,0.49034066015072436,0.49034066015072436
46,rgcn,1.262426733970642,0.42832167832167833,0.1076923076923077,0.33094044811416823,0.3307721051413679,0.18247130918460608,0.28219059514142897,0.26879228646735837,0.14670061178806695,0.696582106314296,0.6965821063142957
46,rule_based,,0.42832167832167833,0.1076923076923077,0.4125641034709082,0.4125641034709082,0.19273003211354262,0.3095512831975253,0.3095512831975253,0.186565020090009,0.24772401572952604,0.24772401572952604
46,mlp,0.9681881070137024,0.42832167832167833,0.1076923076923077,0.3749279980094005,0.3746437600407845,0.1185547326818826,0.2832386058773883,0.28522563024254355,0.12696401576434746,0.26952919170860595,0.26952919170860595
46,xgb_graph,0.8583199977874756,0.42832167832167833,0.1076923076923077,0.3326790593866991,0.33090927344229487,0.1447459802526726,0.24852340514576313,0.25839688359473506,0.1287936238910757,0.39671528058244093,0.39671528058244093
46,gcn_homogeneous,1.294150471687317,0.42832167832167833,0.1076923076923077,0.3768677725518907,0.36934188076707086,0.2065423615829843,0.3262851501730177,0.30394236095041466,0.14601044607969024,0.8037871776956481,0.8037871776956483
47,rgcn,1.280220866203308,0.41360294117647056,0.10326086956521739,0.36929602606562817,0.35622045332326896,0.20256307666138393,0.3234127665311998,0.3030575671255492,0.1593094058593445,0.5191845135144263,0.5191845135144263
47,rule_based,,0.41360294117647056,0.10326086956521739,0.4342391301162434,0.4342391301162434,0.23245895420641854,0.3502626812360858,0.3502626812360858,0.2346937678940328,0.15764822994014566,0.15764822994014566
47,mlp,0.7499108910560608,0.41360294117647056,0.10326086956521739,0.41250448657766636,0.4084017035699841,0.19332896874234257,0.31494597291093746,0.3361530778400927,0.1713714858411581,0.19874268833984143,0.19874268833984143
47,xgb_graph,1.2326740026474,0.41360294117647056,0.10326086956521739,0.35760108013652125,0.3561034315229652,0.1790701038910677,0.31716067449785845,0.30158554383316294,0.16687097523899394,0.28191533392473,0.28191533392473
47,gcn_homogeneous,1.1986480951309204,0.41360294117647056,0.10326086956521739,0.35631874235211225,0.34550614568962246,0.1760213547759442,0.3027723552381292,0.28710297268547674,0.1367381268607809,0.6548159161296357,0.6548159161296357
