seed,model,epoch,loss,val_auprc_weak
42,rgcn,1,0.832771360874176,0.7693483046108462
42,rgcn,2,1.284067153930664,0.7750439938565561
42,rgcn,3,0.6872342228889465,0.7670158349620855
42,rgcn,4,0.55949866771698,0.7621967826603343
42,rgcn,5,0.5687286257743835,0.7644136392216465
42,rgcn,6,0.5819921493530273,0.775505174685791
42,rgcn,7,0.5810157656669617,0.7799461000016937
42,rgcn,8,0.5742594599723816,0.7832453231931834
42,rgcn,9,0.55052649974823,0.7827780909251313
42,rgcn,10,0.5455774664878845,0.7821640909738713
42,rgcn,11,0.5298284888267517,0.781679970262716
42,rgcn,12,0.5210947394371033,0.7807999947821053
42,rgcn,13,0.506680965423584,0.7798865828133491
42,rgcn,14,0.4946184456348419,0.7796787325088377
42,rgcn,15,0.48630958795547485,0.7809649019185058
42,rgcn,16,0.4854761064052582,0.7810735060647221
42,rgcn,17,0.48485028743743896,0.7833551836879207
42,rgcn,18,0.47159335017204285,0.7854218925724302
42,rgcn,19,0.45399391651153564,0.7832231892250989
42,rgcn,20,0.45713767409324646,0.7834376055285196
42,rgcn,21,0.4483610689640045,0.7882005283610082
42,rgcn,22,0.44481557607650757,0.7940669591430839
42,rgcn,23,0.4293184280395508,0.8055483738208473
42,rgcn,24,0.4291825592517853,0.8129641824820614
42,rgcn,25,0.43620508909225464,0.8165641615358612
42,rgcn,26,0.4116312265396118,0.8196104083109695
42,rgcn,27,0.41364485025405884,0.8223048955853911
42,rgcn,28,0.4071666896343231,0.8276814460496275
42,rgcn,29,0.404416024684906,0.8314156873105911
42,rgcn,30,0.40322285890579224,0.8357869751190717
42,rgcn,31,0.38158220052719116,0.8427411809583368
42,rgcn,32,0.39472800493240356,0.849317455069863
42,rgcn,33,0.3864000737667084,0.8545957638201996
42,rgcn,34,0.3782344460487366,0.8568034714424068
42,rgcn,35,0.3745943307876587,0.85752285244594
42,rgcn,36,0.37296003103256226,0.858500670149697
42,rgcn,37,0.3662588596343994,0.8597640674274767
42,rgcn,38,0.36548542976379395,0.8622512109175031
42,rgcn,39,0.3644793629646301,0.8653595405028387
42,rgcn,40,0.3548652231693268,0.8674909367890429
42,rgcn,41,0.3418888747692108,0.8687322639928401
42,rgcn,42,0.3414616584777832,0.8683878479878021
42,rgcn,43,0.3449428975582123,0.8683065062841114
42,rgcn,44,0.34665393829345703,0.8697117699045699
42,rgcn,45,0.33952370285987854,0.8718528865545759
42,rgcn,46,0.33105167746543884,0.8730366794711912
42,rgcn,47,0.3265116810798645,0.8739849521287346
42,rgcn,48,0.31398922204971313,0.874685138173979
42,rgcn,49,0.33547332882881165,0.8747503896522779
42,rgcn,50,0.30802157521247864,0.8754292164922964
42,rgcn,51,0.31165972352027893,0.8779539192774022
42,rgcn,52,0.3041766881942749,0.8807086671306353
42,rgcn,53,0.30930498242378235,0.8818012657797134
42,rgcn,54,0.3117154538631439,0.8804525854524485
42,rgcn,55,0.3199349045753479,0.881374320232253
42,rgcn,56,0.31473129987716675,0.884059881513362
42,rgcn,57,0.28976619243621826,0.8878345397857254
42,rgcn,58,0.30215081572532654,0.8888804343212199
42,rgcn,59,0.2995707392692566,0.8905231227106781
42,rgcn,60,0.29031819105148315,0.8907893226328742
42,rgcn,61,0.29789191484451294,0.8909757462132383
42,rgcn,62,0.2868511974811554,0.8915797682370327
42,rgcn,63,0.29091814160346985,0.8931784372948834
