seed,model,stage,confidence,accuracy,count
42,rgcn,before,0.0089341481338445,0.0,256
42,rgcn,before,0.14472158219326625,0.09090909090909091,22
42,rgcn,before,0.25140680686423655,0.05263157894736842,19
42,rgcn,before,0.3588791713118553,0.0,12
42,rgcn,before,0.4555456512852719,0.10526315789473684,19
42,rgcn,before,0.5548166449253376,0.0,13
42,rgcn,before,0.6529744646765969,0.18181818181818182,11
42,rgcn,before,0.749473702339899,0.047619047619047616,21
42,rgcn,before,0.8550613423188528,0.0,24
42,rgcn,before,0.9791216045938512,0.24731182795698925,186
42,rgcn,after,0.017438466286918634,0.0,228
42,rgcn,after,0.14626590322170938,0.0,28
42,rgcn,after,0.2488989972549936,0.08695652173913043,23
42,rgcn,after,0.34691987931728363,0.045454545454545456,22
42,rgcn,after,0.45698215232955086,0.07407407407407407,27
42,rgcn,after,0.5500728770306236,0.10526315789473684,19
42,rgcn,after,0.653534209728241,0.04,25
42,rgcn,after,0.7507134938240051,0.0,25
42,rgcn,after,0.8568496174282498,0.018518518518518517,54
42,rgcn,after,0.9649657887039762,0.3409090909090909,132
42,rule_based,before,0.0,0.0,75
42,rule_based,before,0.1333333378036817,0.0,27
42,rule_based,before,0.22243589907884598,0.02564102564102564,78
42,rule_based,before,0.3347457622067403,0.06779661016949153,59
42,rule_based,before,0.4319148881638304,0.0425531914893617,47
42,rule_based,before,0.5327868930629043,0.04918032786885246,61
42,rule_based,before,0.6522058827035567,0.22058823529411764,68
42,rule_based,before,0.75,0.07407407407407407,27
42,rule_based,before,0.8250000056098489,0.029411764705882353,34
42,rule_based,before,0.9878504643930452,0.2336448598130841,107
42,rule_based,after,0.0,0.0,75
42,rule_based,after,0.1333333378036817,0.0,27
42,rule_based,after,0.22243589907884598,0.02564102564102564,78
42,rule_based,after,0.3347457622067403,0.06779661016949153,59
42,rule_based,after,0.4319148881638304,0.0425531914893617,47
42,rule_based,after,0.5327868930629043,0.04918032786885246,61
42,rule_based,after,0.6522058827035567,0.22058823529411764,68
42,rule_based,after,0.75,0.07407407407407407,27
42,rule_based,after,0.8250000056098489,0.029411764705882353,34
42,rule_based,after,0.9878504643930452,0.2336448598130841,107
42,mlp,before,0.08898064068385533,0.0,7
42,mlp,before,0.15109909727847834,0.07194244604316546,139
42,mlp,before,0.23637599125504494,0.06666666666666667,60
42,mlp,before,0.35720263111094636,0.020833333333333332,48
42,mlp,before,0.4524514818346346,0.1038961038961039,77
42,mlp,before,0.5510349716459002,0.08571428571428572,70
42,mlp,before,0.6497723017189954,0.04054054054054054,74
42,mlp,before,0.7491698780575314,0.02702702702702703,37
42,mlp,before,0.8470664234722362,0.2647058823529412,34
42,mlp,before,0.9564103741903562,0.32432432432432434,37
42,mlp,after,0.08752161409291956,0.027777777777777776,36
42,mlp,after,0.14447929561138154,0.08148148148148149,135
42,mlp,after,0.2383585826652806,0.04878048780487805,41
42,mlp,after,0.35348203654090565,0.0625,48
42,mlp,after,0.4511735649176047,0.08450704225352113,71
42,mlp,after,0.5508822375728238,0.08064516129032258,62
42,mlp,after,0.6551702763583209,0.05405405405405406,74
42,mlp,after,0.749990028994424,0.02857142857142857,35
42,mlp,after,0.8468653791480594,0.19444444444444445,36
42,mlp,after,0.9578286740514967,0.3111111111111111,45
42,xgb_graph,before,0.02428760565106222,0.0,221
42,xgb_graph,before,0.14773762780122268,0.0,39
42,xgb_graph,before,0.24724961689540317,0.02857142857142857,35
42,xgb_graph,before,0.35048832947557623,0.09090909090909091,22
42,xgb_graph,before,0.45562747451994157,0.2222222222222222,27
42,xgb_graph,before,0.5481850721619346,0.045454545454545456,22
42,xgb_graph,before,0.6455989345427482,0.12903225806451613,31
42,xgb_graph,before,0.7515241996995334,0.0,29
42,xgb_graph,before,0.8578548984868186,0.21428571428571427,42
42,xgb_graph,before,0.9641193939291912,0.26956521739130435,115
42,xgb_graph,after,0.034089070561188324,0.0,194
42,xgb_graph,after,0.14186982208109916,0.0,47
42,xgb_graph,after,0.25172801315784454,0.023255813953488372,43
42,xgb_graph,after,0.34620903377179746,0.0,27
42,xgb_graph,after,0.455008044387355,0.24242424242424243,33
42,xgb_graph,after,0.552778406937917,0.03333333333333333,30
42,xgb_graph,after,0.6473875267165048,0.11428571428571428,35
42,xgb_graph,after,0.7493809999958161,0.0967741935483871,31
42,xgb_graph,after,0.849498872573559,0.17307692307692307,52
42,xgb_graph,after,0.9540330282934419,0.3076923076923077,91
42,gcn_homogeneous,before,0.018404179097405875,0.004651162790697674,215
42,gcn_homogeneous,before,0.14920354303386477,0.07407407407407407,27
42,gcn_homogeneous,before,0.24446881329640746,0.0,32
42,gcn_homogeneous,before,0.3389260447942294,0.038461538461538464,26
42,gcn_homogeneous,before,0.45322701105704677,0.07692307692307693,26
42,gcn_homogeneous,before,0.5418476943786328,0.07692307692307693,26
42,gcn_homogeneous,before,0.6435845937047686,0.05714285714285714,35
42,gcn_homogeneous,before,0.7615966672698656,0.125,24
42,gcn_homogeneous,before,0.8583162585894267,0.06666666666666667,45
42,gcn_homogeneous,before,0.9657075836902528,0.2992125984251969,127
42,gcn_homogeneous,after,0.023358584291184026,0.004739336492890996,211
42,gcn_homogeneous,after,0.14930035142848888,0.08333333333333333,24
42,gcn_homogeneous,after,0.2460329117196979,0.0,33
42,gcn_homogeneous,after,0.3447611965239048,0.03125,32
42,gcn_homogeneous,after,0.45772167237905353,0.07692307692307693,26
42,gcn_homogeneous,after,0.5471999087641316,0.06451612903225806,31
42,gcn_homogeneous,after,0.6423441171646118,0.058823529411764705,34
42,gcn_homogeneous,after,0.7621630110910961,0.10714285714285714,28
42,gcn_homogeneous,after,0.8519789327022641,0.06976744186046512,43
42,gcn_homogeneous,after,0.958295794557934,0.3140495867768595,121
43,rgcn,before,0.014985663116238316,0.030837004405286344,227
43,rgcn,before,0.14796130846326166,0.0,26
43,rgcn,before,0.24637009913013094,0.0,21
43,rgcn,before,0.3404444654782613,0.0,15
43,rgcn,before,0.4359777134198409,0.0,13
43,rgcn,before,0.5473566217855974,0.0,11
43,rgcn,before,0.6594673732052678,0.08695652173913043,23
43,rgcn,before,0.7474640257218305,0.058823529411764705,17
43,rgcn,before,0.8427564725279808,0.041666666666666664,24
43,rgcn,before,0.9742066143675053,0.13829787234042554,188
43,rgcn,after,0.016549593721054592,0.03398058252427184,206
43,rgcn,after,0.14574819930962155,0.0,35
43,rgcn,after,0.2488040518760681,0.0,25
43,rgcn,after,0.3430049660659972,0.0,21
43,rgcn,after,0.44317824840545655,0.0,15
43,rgcn,after,0.549403863293784,0.0,14
43,rgcn,after,0.6505203370390267,0.10344827586206896,29
43,rgcn,after,0.7517431199550628,0.05,20
43,rgcn,after,0.8609536080747038,0.0,37
43,rgcn,after,0.9662674526495436,0.15950920245398773,163
43,rule_based,before,0.0,0.16,25
43,rule_based,before,0.11666666964689891,0.0,9
43,rule_based,before,0.20404040677980942,0.010101010101010102,99
43,rule_based,before,0.3275000020861626,0.016666666666666666,60
43,rule_based,before,0.4437499903142452,0.03571428571428571,56
43,rule_based,before,0.5315789548974288,0.0,57
43,rule_based,before,0.6481012686898436,0.20253164556962025,79
43,rule_based,before,0.75,0.0,24
43,rule_based,before,0.8304347862368044,0.043478260869565216,46
43,rule_based,before,0.9890909064899791,0.1,110
43,rule_based,after,0.0,0.16,25
43,rule_based,after,0.11666666964689891,0.0,9
43,rule_based,after,0.20404040677980942,0.010101010101010102,99
43,rule_based,after,0.3275000020861626,0.016666666666666666,60
43,rule_based,after,0.4437499903142452,0.03571428571428571,56
43,rule_based,after,0.5315789548974288,0.0,57
43,rule_based,after,0.6481012686898436,0.20253164556962025,79
43,rule_based,after,0.75,0.0,24
43,rule_based,after,0.8304347862368044,0.043478260869565216,46
43,rule_based,after,0.9890909064899791,0.1,110
43,mlp,before,0.05803209276948596,0.07042253521126761,71
43,mlp,before,0.15251280408766535,0.09722222222222222,72
43,mlp,before,0.2468026476363613,0.0410958904109589,73
43,mlp,before,0.33646092414855955,0.02857142857142857,70
43,mlp,before,0.44733486430985586,0.02040816326530612,49
43,mlp,before,0.5478901059731193,0.043478260869565216,46
43,mlp,before,0.6460438504815101,0.1,40
43,mlp,before,0.7479105847222465,0.11904761904761904,42
43,mlp,before,0.8453497224383884,0.07407407407407407,54
43,mlp,before,0.9505237638950348,0.08333333333333333,48
43,mlp,after,0.05150022013999876,0.07142857142857142,84
43,mlp,after,0.15446061073314576,0.09523809523809523,84
43,mlp,after,0.25891954168467457,0.014084507042253521,71
43,mlp,after,0.34304937551606374,0.03773584905660377,53
43,mlp,after,0.4485018093918645,0.023255813953488372,43
43,mlp,after,0.5480289118630546,0.047619047619047616,42
43,mlp,after,0.6430581940544976,0.08333333333333333,36
43,mlp,after,0.7484079497616466,0.12195121951219512,41
43,mlp,after,0.8545529996526653,0.06896551724137931,58
43,mlp,after,0.9574399736692321,0.09433962264150944,53
43,xgb_graph,before,0.039487654343247414,0.03125,160
43,xgb_graph,before,0.13966867534650695,0.018518518518518517,54
43,xgb_graph,before,0.2562284086431776,0.023809523809523808,42
43,xgb_graph,before,0.3473514263276701,0.0,27
43,xgb_graph,before,0.45204315665695405,0.08333333333333333,36
43,xgb_graph,before,0.5481245219707489,0.07692307692307693,26
43,xgb_graph,before,0.6408607805928876,0.03225806451612903,31
43,xgb_graph,before,0.7559469163417816,0.1,40
43,xgb_graph,before,0.8586429577607375,0.1076923076923077,65
43,xgb_graph,before,0.9476631432771683,0.15476190476190477,84
43,xgb_graph,after,0.030183690468820325,0.026595744680851064,188
43,xgb_graph,after,0.13909369111061096,0.02857142857142857,35
43,xgb_graph,after,0.23532424680888653,0.025,40
43,xgb_graph,after,0.3410972473414048,0.0,23
43,xgb_graph,after,0.4472053628979307,0.09090909090909091,33
43,xgb_graph,after,0.5514502292094023,0.08695652173913043,23
43,xgb_graph,after,0.657040944022517,0.03225806451612903,31
43,xgb_graph,after,0.7596009345281691,0.0,21
43,xgb_graph,after,0.8551402528371129,0.125,56
43,xgb_graph,after,0.9563885704330776,0.14782608695652175,115
43,gcn_homogeneous,before,0.022966731557163358,0.03888888888888889,180
43,gcn_homogeneous,before,0.14830829293989553,0.0,41
43,gcn_homogeneous,before,0.24589045168388457,0.0,42
43,gcn_homogeneous,before,0.3488248987839772,0.0,26
43,gcn_homogeneous,before,0.44152939455075696,0.0,22
43,gcn_homogeneous,before,0.5493466234207154,0.0,25
43,gcn_homogeneous,before,0.6424053758382797,0.06818181818181818,44
43,gcn_homogeneous,before,0.755033008257548,0.022222222222222223,45
43,gcn_homogeneous,before,0.8597839690487961,0.08620689655172414,58
43,gcn_homogeneous,before,0.9495851521084948,0.25609756097560976,82
43,gcn_homogeneous,after,0.019667134112399166,0.03763440860215054,186
43,gcn_homogeneous,after,0.1462515519762581,0.0,44
43,gcn_homogeneous,after,0.24377652610603132,0.0,38
43,gcn_homogeneous,after,0.35042002408400824,0.0,23
43,gcn_homogeneous,after,0.44018458276987077,0.0,20
43,gcn_homogeneous,after,0.5468545908277685,0.0,22
43,gcn_homogeneous,after,0.6453096994331905,0.047619047619047616,42
43,gcn_homogeneous,after,0.7532381270382855,0.02702702702702703,37
43,gcn_homogeneous,after,0.8510344691996304,0.07547169811320754,53
43,gcn_homogeneous,after,0.951706970334053,0.23,100
44,rgcn,before,0.014462803127035347,0.033816425120772944,207
44,rgcn,before,0.15076676433285077,0.0,30
