seed,dropped_ecosystem,condition,group,repeat_seed,auprc,n,n_pos
45,judol,joint,both_saja,46,0.29306115198113175,539,24
45,judol,joint,pinjol_saja,46,0.012124425592082008,517,2
45,judol,siloed,semua_tersisa,45,0.24269541321535265,541,26
45,judol,siloed,both_saja,45,0.25337587644940446,539,24
45,judol,siloed,pinjol_saja,45,0.007610575735112429,517,2
45,judol,siloed,semua_tersisa,46,0.22623824514396165,541,26
45,judol,siloed,both_saja,46,0.23559842054415317,539,24
45,judol,siloed,pinjol_saja,46,0.007481940144478844,517,2
46,pinjol,joint,semua_tersisa,46,0.723270738032583,563,41
46,pinjol,joint,both_saja,46,0.4829679715989571,536,14
46,pinjol,joint,judol_saja,46,0.7092059988813154,549,27
46,pinjol,joint,semua_tersisa,47,0.7681291578033907,563,41
46,pinjol,joint,both_saja,47,0.6019451335626677,536,14
46,pinjol,joint,judol_saja,47,0.7588782283284952,549,27
46,pinjol,siloed,semua_tersisa,46,0.6835101360084207,563,41
46,pinjol,siloed,both_saja,46,0.4336378140782989,536,14
46,pinjol,siloed,judol_saja,46,0.6749601220654157,549,27
46,pinjol,siloed,semua_tersisa,47,0.7175856686092548,563,41
46,pinjol,siloed,both_saja,47,0.39207807564014885,536,14
46,pinjol,siloed,judol_saja,47,0.7436907024090714,549,27
46,judol,joint,semua_tersisa,46,0.5137550580189724,558,36
46,judol,joint,both_saja,46,0.4829679715989571,536,14
46,judol,joint,pinjol_saja,46,0.3475106622219697,544,22
46,judol,joint,semua_tersisa,47,0.5673554801697422,558,36
46,judol,joint,both_saja,47,0.6019451335626677,536,14
46,judol,joint,pinjol_saja,47,0.3900111454145681,544,22
46,judol,siloed,semua_tersisa,46,0.48675096171482707,558,36
46,judol,siloed,both_saja,46,0.3870254885735143,536,14
46,judol,siloed,pinjol_saja,46,0.3516279481986358,544,22
46,judol,siloed,semua_tersisa,47,0.5578147064816971,558,36
46,judol,siloed,both_saja,47,0.5059921153482757,536,14
46,judol,siloed,pinjol_saja,47,0.4160224421470348,544,22
47,pinjol,joint,semua_tersisa,47,0.5268818739131836,537,42
47,pinjol,joint,both_saja,47,0.4473959224535519,531,36
47,pinjol,joint,judol_saja,47,0.6794201539483452,501,6
47,pinjol,joint,semua_tersisa,48,0.5638691109910027,537,42
