seed,model,scope,n_init,auprc_single,auprc_init_mean,auprc_init_std,auprc_ensemble,gain_vs_single,gain_vs_init_mean,ens_auprc,ens_recall,ens_recall_at_50,ens_recall_at_100,ens_macro_f1,ens_precision,ens_roc_auc,ens_ece,ens_brier,ens_n,ens_n_pos,ens_pos_rate
42,rgcn,entity,5,0.6782094906540411,0.6522116426615533,0.014962966986939715,0.650074670461333,-0.028134820192708077,-0.002136972200220244,0.650074670461333,0.9074074074074074,0.5185185185185185,0.6481481481481481,0.5392004863961088,0.19444444444444445,0.8950150528600433,0.331352069147714,0.28556405372062826,583.0,54.0,0.09262435677530018
42,rgcn,all,5,0.6011184082060336,0.5791494801614198,0.02038081263375726,0.5852701172877708,-0.015848290918262786,0.006120637126351025,0.5852701172877708,0.9074074074074074,0.5185185185185185,0.6111111111111112,0.5211988304093567,0.16013071895424835,0.8852703277990635,0.3616471823091134,0.29312551927405583,750.0,54.0,0.072
42,mlp,entity,5,0.26499811503858983,0.2582727214436523,0.010210862903845992,0.2630186789321035,-0.001979436106486321,0.004745957488451191,0.2630186789321035,0.5185185185185185,0.2777777777777778,0.3888888888888889,0.44825375503724507,0.112,0.6198277672757825,0.34691361036937607,0.25312445605060024,583.0,54.0,0.09262435677530018
42,mlp,all,5,0.2325423709608553,0.2263752761971932,0.009766656552820456,0.23095061269583592,-0.001591758265019394,0.004575336498642724,0.23095061269583592,0.5185185185185185,0.25925925925925924,0.35185185185185186,0.4151793450008664,0.08139534883720931,0.6046189868028948,0.38229638448357584,0.26748986812220277,750.0,54.0,0.072
42,gcn_homogeneous,entity,5,0.555775134641385,0.5826082974097191,0.03153649672985307,0.5669299417103989,0.01115480706901395,-0.01567835569932019,0.5669299417103989,0.9259259259259259,0.4444444444444444,0.6851851851851852,0.5474035236663874,0.20080321285140562,0.8666946719876776,0.32666770438048753,0.26523785373395353,583.0,54.0,0.09262435677530018
42,gcn_homogeneous,all,5,0.25284308561118923,0.26567298146431984,0.019411458983362998,0.26554729005948047,0.012704204448291234,-0.00012569140483936758,0.26554729005948047,0.9259259259259259,0.2962962962962963,0.46296296296296297,0.4497338247338247,0.1282051282051282,0.8135642826734781,0.420664251701783,0.3463758457647999,750.0,54.0,0.072
42,xgb_graph,entity,5,0.3914142652501227,0.352835410279314,0.041401094547677875,0.3428295683451015,-0.04858469690502121,-0.0100058419342125,0.3428295683451015,0.8333333333333334,0.37037037037037035,0.5,0.5348615462453055,0.18672199170124482,0.8386543443254217,0.3297301741961691,0.24767228885275228,583.0,54.0,0.09262435677530018
42,xgb_graph,all,5,0.3816977171824069,0.3445951013576917,0.040792116044173994,0.3348582382697276,-0.04683947891267931,-0.00973686308796412,0.3348582382697276,0.8333333333333334,0.37037037037037035,0.5,0.5310220245952895,0.16129032258064516,0.8618295019157087,0.3261271000969689,0.22492843560453601,750.0,54.0,0.072
42,rule_based,entity,1,0.20450920672360567,0.20450920672360567,0.0,0.20450920672360567,0.0,0.0,0.20450920672360567,0.8518518518518519,0.3333333333333333,0.4074074074074074,0.47215842553265863,0.15488215488215487,0.7602394454946438,0.4079759868682964,0.307903088116012,583.0,54.0,0.09262435677530018
42,rule_based,all,1,0.16926139345347355,0.16926139345347355,0.0,0.16926139345347355,0.0,0.0,0.16926139345347355,0.8518518518518519,0.3333333333333333,0.37037037037037035,0.42828143293941257,0.115,0.7517959770114941,0.4427333345711231,0.3222566683367889,750.0,54.0,0.072
43,rgcn,entity,5,0.4556136557325617,0.4590097886016438,0.05615658290236677,0.39765765375814394,-0.05795600197441775,-0.061352134843499884,0.39765765375814394,0.8108108108108109,0.43243243243243246,0.5945945945945946,0.4443351691581432,0.10989010989010989,0.7572174447174448,0.4222758870831351,0.3674954349976318,565.0,37.0,0.06548672566371681
43,rgcn,all,5,0.4352575273980816,0.4315022241495174,0.050688707015698796,0.3755068355064385,-0.059750691891643115,-0.0559953886430789,0.3755068355064385,0.8108108108108109,0.3783783783783784,0.5945945945945946,0.4478305473417416,0.09146341463414634,0.7575148781319889,0.43817905168451726,0.3518482914538359,750.0,37.0,0.04933333333333333
43,mlp,entity,5,0.08906240526129097,0.08110646279640901,0.005335269373631939,0.08046983031920273,-0.008592574942088246,-0.0006366324772062865,0.08046983031920273,0.4864864864864865,0.10810810810810811,0.21621621621621623,0.4335802726314008,0.0782608695652174,0.5201678951678952,0.38491162878288104,0.282863091646174,565.0,37.0,0.06548672566371681
43,mlp,all,5,0.059710222079364265,0.054755426047765995,0.003439921689054163,0.054383619123991714,-0.005326602955372552,-0.0003718069237742816,0.054383619123991714,0.4864864864864865,0.08108108108108109,0.13513513513513514,0.3973333333333333,0.05325443786982249,0.48546302262992314,0.4347361591383815,0.31560550109546837,750.0,37.0,0.04933333333333333
43,gcn_homogeneous,entity,5,0.5708478402838131,0.5331522537285086,0.02032391884960173,0.5475693986122414,-0.02327844167157167,0.014417144883732802,0.5475693986122414,0.8108108108108109,0.5405405405405406,0.5945945945945946,0.4543119236641833,0.11363636363636363,0.7822481572481572,0.38802231448022306,0.3055151007463269,565.0,37.0,0.06548672566371681
43,gcn_homogeneous,all,5,0.36286991385186085,0.2937757110694603,0.056832018318532726,0.3296550984064746,-0.03321481544538624,0.03587938733701429,0.3296550984064746,0.8108108108108109,0.43243243243243246,0.5675675675675675,0.37371682582735305,0.07109004739336493,0.7454228421970358,0.4814350394793146,0.38842570193159753,750.0,37.0,0.04933333333333333
43,xgb_graph,entity,5,0.16390326191602,0.16621586343419814,0.013167080076799946,0.1514996363481384,-0.012403625567881604,-0.014716227086059741,0.1514996363481384,0.7297297297297297,0.21621621621621623,0.4594594594594595,0.45696483611175553,0.10843373493975904,0.7101248976248976,0.3759145772489265,0.2993318494999623,565.0,37.0,0.06548672566371681
43,xgb_graph,all,5,0.15599975703204869,0.1574626003594899,0.013323164031469267,0.1429886775896004,-0.013011079442448281,-0.014473922769889486,0.1429886775896004,0.7297297297297297,0.21621621621621623,0.4594594594594595,0.4607697127186451,0.09090909090909091,0.7255600621659528,0.3745547101186588,0.2699840595821581,750.0,37.0,0.04933333333333333
43,rule_based,entity,1,0.10505537535223822,0.10505537535223822,0.0,0.10505537535223822,0.0,0.0,0.10505537535223822,0.7837837837837838,0.21621621621621623,0.2702702702702703,0.39232028467155944,0.09177215189873418,0.6318847256347256,0.5013274343667832,0.37406637208546173,565.0,37.0,0.06548672566371681
43,rule_based,all,1,0.08103801611045938,0.08103801611045938,0.0,0.08103801611045938,0.0,0.0,0.08103801611045938,0.7837837837837838,0.21621621621621623,0.24324324324324326,0.35355392156862747,0.0654627539503386,0.6289943519957544,0.522133334428072,0.3825666677256427,750.0,37.0,0.04933333333333333
44,rgcn,entity,5,0.08573667638748497,0.08266171938101981,0.01925542066536463,0.10698128824223016,0.021244611854745188,0.024319568861210353,0.10698128824223016,0.5789473684210527,0.15789473684210525,0.3157894736842105,0.3926050017949025,0.043137254901960784,0.5934331240946402,0.4152400877706779,0.35325329319374704,564.0,19.0,0.03368794326241135
44,rgcn,all,5,0.049072801788937095,0.05548331848005368,0.009700011459159816,0.060047777905497216,0.01097497611656012,0.0045644594254435344,0.060047777905497216,0.5789473684210527,0.15789473684210525,0.3157894736842105,0.39850105694702453,0.03481012658227848,0.5806033551731586,0.42881283324437286,0.3390558439346431,750.0,19.0,0.025333333333333333
44,mlp,entity,5,0.041367589501329544,0.04380030716821122,0.0018631835891324867,0.042811596240109044,0.0014440067387795005,-0.0009887109281021753,0.042811596240109044,0.6842105263157895,0.10526315789473684,0.15789473684210525,0.36834135184162786,0.044673539518900345,0.581168517624336,0.45930520730614927,0.31465111858647465,564.0,19.0,0.03368794326241135
